name,elev_ft,elev_m,lat,lon,activities,season,link
Abert Rim,7548,2301,42.38838,-120.23446,Hiking,,http://www.summitpost.org/abert-rim/345187
Acker Rock,4112,1253,43.053,-122.644,,,http://www.summitpost.org/acker-rock/153184
Aldrich Butte,1141,348,45.65335,-121.97992,Hiking,,http://www.summitpost.org/aldrich-butte/973905
Alvord Peak,7132,2174,42.34722,-118.70285,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/alvord-peak/266972
Aneroid Mountain,9702,2957,45.2033,-117.1736,,,http://www.summitpost.org/aneroid-mountain/150916
Angel's Rest,1578,481,45.57488,-122.15207,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/angel-s-rest/350350
Angell Pk/Lees Pk/Lakes L.O.,8646,2635,44.9417,-118.2298,,,http://www.summitpost.org/angell-pk-lees-pk-lakes-l-o/155123
Angora Peak (Oregon),2682,817,45.7878,-123.9203,"Hiking, Scrambling","Spring, Summer, Fall, Winter",http://www.summitpost.org/angora-peak-oregon/931152
Applegate Peak,8126,2477,42.89976,-122.10489,Hiking,,http://www.summitpost.org/applegate-peak/915699
Mount Ashland,7533,2296,42.0807,-122.7172,"Hiking, Mountaineering, Trad Climbing, Bouldering, Scrambling, Skiing","Spring, Summer, Fall, Winter",http://www.summitpost.org/mount-ashland/155163
Aspen Butte,8208,2502,42.316,-122.086,Hiking,Summer,http://www.summitpost.org/aspen-butte/227989
Bachelor Mountain,5953,1814,44.6289,-122.0119,,,http://www.summitpost.org/bachelor-mountain/154589
Mount Bachelor,9065,2763,43.9797,-121.6892,,,http://www.summitpost.org/mount-bachelor/150472
Mount Bailey,8368,2551,43.1551,-122.2201,,,http://www.summitpost.org/mount-bailey/151169
"Bald  Mountain (Kalmiopsis, OR)",3975,1212,42.4389,-123.9133,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/bald-mountain-kalmiopsis-or/357308
Bald Hill,755,230,44.566,-123.335,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/bald-hill/997791
Bald Mountain  (OR),7393,2253,43.2743,-121.3541,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/bald-mountain-or/257419
Baldy Mountain,7424,2263,44.3374,-118.7723,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/baldy-mountain/199883
Baldy Peak (Oregon),4645,1416,42.094,-123.0426,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/baldy-peak-oregon/278740
Barlow Butte,5069,1545,45.27588,-121.66865,"Hiking, Mountaineering","Spring, Summer, Fall, Winter",http://www.summitpost.org/barlow-butte/915834
Smith:  Basalt Areas,2700,823,44.3687,-121.1309,"Trad Climbing, Sport Climbing, Toprope","Spring, Summer, Fall, Winter",http://www.summitpost.org/smith-basalt-areas/155111
Battle Ax,5558,1694,44.8262,-122.138,,,http://www.summitpost.org/battle-ax/151258
Mount Beachie,5160,1573,44.81091,-122.15473,"Hiking, Scrambling","Spring, Summer, Fall, Winter",http://www.summitpost.org/mount-beachie/886358
Beatys Butte (OR),7918,2413,42.386,-119.3307,,,http://www.summitpost.org/beatys-butte-or/154186
Belknap Crater,6872,2095,44.28492,-121.84229,,,http://www.summitpost.org/belknap-crater/151137
Benson Plateau,4170,1271,45.622,-121.8427,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/benson-plateau/179823
Berry-Norton,8000,2438,44.32637,-118.87262,"Hiking, Scrambling","Summer, Fall",http://www.summitpost.org/berry-norton/851773
Bessie Butte,4768,1453,43.9488,-121.26919,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/bessie-butte/916467
Big Craggies,4619,1408,42.3404,-124.0585,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/big-craggies/201064
Big Lookout Mountain,7120,2170,44.6091,-117.2785,,,http://www.summitpost.org/big-lookout-mountain/155153
Big Slide Mountain,5526,1684,44.892,-122.07131,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/big-slide-mountain/308114
Black Butte (Oregon),6436,1962,44.3996,-121.6345,,,http://www.summitpost.org/black-butte-oregon/151142
Black Crater,7251,2210,44.2658,-121.7486,,,http://www.summitpost.org/black-crater/150660
Black Mountain (OR),5932,1808,45.2132,-119.2946,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/black-mountain-or/274118
Bohemia Mountain,5960,1817,43.57429,-122.65694,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/bohemia-mountain/217229
Bolan Mountain,6242,1903,42.0184,-123.4545,"Hiking, Mountaineering, Trad Climbing, Skiing","Spring, Summer, Fall, Winter",http://www.summitpost.org/bolan-mountain/155042
Mount Bolivar,4319,1316,42.7917,-123.8363,,,http://www.summitpost.org/mount-bolivar/153954
Bonneville Mountain,9146,2788,45.2164,-117.2121,Scrambling,Summer,http://www.summitpost.org/bonneville-mountain/215692
Brandy Peak (OR),5298,1615,42.5975,-123.879,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/brandy-peak-or/261580
Breitenbush Ears,5120,1561,44.72679,-121.90008,"Trad Climbing, Scrambling","Summer, Fall",http://www.summitpost.org/breitenbush-ears/540020
Broken Top,9175,2797,44.0831,-121.6986,,,http://www.summitpost.org/broken-top/150574
Broughton Bluff,450,137,45.54096,-122.37971,"Hiking, Trad Climbing, Sport Climbing, Toprope, Aid Climbing, Scrambling","Spring, Summer, Fall, Winter",http://www.summitpost.org/broughton-bluff/184945
Brown Mountain,8944,2726,45.17992,-117.37006,"Hiking, Scrambling","Spring, Summer, Fall",http://www.summitpost.org/brown-mountain/912161
Brown Mountain,7340,2237,42.3652,-122.2701,Hiking,Winter,http://www.summitpost.org/brown-mountain/188549
Buck Peak (OR),4751,1448,45.4989,-121.8586,,,http://www.summitpost.org/buck-peak-or/153562
Bull of the Woods,5523,1683,44.8846,-122.0957,,,http://www.summitpost.org/bull-of-the-woods/151880
Bullrun Rock/Monument Rock/Table Rock,7879,2402,44.32444,-118.28379,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/bullrun-rock-monument-rock-table-rock/227150
Burger Butte,8488,2587,45.143,-117.516,"Hiking, Scrambling","Spring, Summer, Fall",http://www.summitpost.org/burger-butte/299670
Fantasy Island (Callahans),3500,1067,43.22494,-123.55499,Sport Climbing,"Spring, Summer, Fall, Winter",http://www.summitpost.org/fantasy-island-callahans/766317
Canyon Mountain,7999,2438,44.33685,-118.8887,"Hiking, Scrambling","Summer, Fall",http://www.summitpost.org/canyon-mountain/203674
"Canyon Mountain (Kalmiopsis, OR)",4916,1498,42.1939,-123.8216,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/canyon-mountain-kalmiopsis-or/362004
Mount Carmine,7882,2402,42.33333,-122.08278,Hiking,"Summer, Fall",http://www.summitpost.org/mount-carmine/817703
Carpenter Mountain (OR),5349,1630,44.2814,-122.1431,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/carpenter-mountain-or/260541
Cascade Head,1217,371,45.057,-124.004,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/cascade-head/209144
Castle Rock (SW Oregon),5750,1753,43.08859,-122.43761,Scrambling,Summer,http://www.summitpost.org/castle-rock-sw-oregon/469883
Castle Rock,6837,2084,44.02127,-118.18283,Mixed,"Summer, Fall",http://www.summitpost.org/castle-rock/302272
Chief Joseph Mountain,9617,2931,45.2856,-117.2611,,,http://www.summitpost.org/chief-joseph-mountain/151725
China Cap,8656,2638,45.1561,-117.5089,,,http://www.summitpost.org/china-cap/153078
Chinidere Mt.,4674,1425,45.5863,-121.8111,,,http://www.summitpost.org/chinidere-mt/153042
Chip Ross Hill,850,259,44.6093,-123.2841,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/chip-ross-hill/997849
Clark's Mountain (Tillamook Head),1225,373,45.9614,-123.9689,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/clark-s-mountain-tillamook-head/898876
Cloud Cap,8065,2458,42.93126,-122.04313,Hiking,"Summer, Fall",http://www.summitpost.org/cloud-cap/915464
Coffin Mountain,5770,1759,44.6215,-122.0443,,,http://www.summitpost.org/coffin-mountain/154582
Collier Cone,7534,2296,44.1887,-121.7844,,,http://www.summitpost.org/collier-cone/151772
Columbia River Gorge,4959,1512,45.6479,-121.9276,,,http://www.summitpost.org/columbia-river-gorge/153977
Cone Peak,5646,1721,44.4103,-122.1325,,,http://www.summitpost.org/cone-peak/151711
Cougar Mountain,7919,2414,42.30766,-120.63126,"Hiking, Mountaineering, Scrambling","Spring, Summer, Fall",http://www.summitpost.org/cougar-mountain/630663
Cowhorn Mountain,7664,2336,43.4,-122.05,,,http://www.summitpost.org/cowhorn-mountain/151311
Coxcomb Hill (Astoria Column),595,181,46.18144,-123.81757,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/coxcomb-hill-astoria-column/959075
Crane Mountain (OR),8456,2577,42.0628,-120.2398,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/crane-mountain-or/273020
Crescent Mountain,5750,1753,44.4466,-122.093,,,http://www.summitpost.org/crescent-mountain/154836
Crook Peak,7834,2388,42.36225,-120.15112,"Hiking, Mountaineering, Scrambling","Spring, Summer, Fall, Winter",http://www.summitpost.org/crook-peak/727209
Cusick Mountain,9518,2901,45.1378,-117.2462,,,http://www.summitpost.org/cusick-mountain/153199
Mount Defiance,4959,1512,45.6486,-121.7211,,,http://www.summitpost.org/mount-defiance/150551
Devils Peak,5045,1538,45.2642,-121.8756,,,http://www.summitpost.org/devils-peak/152355
Devils Peak (Sw Oregon),7582,2311,42.6433,-122.21423,Scrambling,Summer,http://www.summitpost.org/devils-peak-sw-oregon/475697
Diablo Rim,6147,1874,42.84476,-120.48068,"Hiking, Scrambling",Winter,http://www.summitpost.org/diablo-rim/492050
Diamond Peak,8750,2667,43.5206,-122.1486,,,http://www.summitpost.org/diamond-peak/150578
Dinah-Mo Peak,6441,1963,44.7439,-121.83,,,http://www.summitpost.org/dinah-mo-peak/154401
Dixie Butte,7592,2314,44.58284,-118.62608,"Hiking, Skiing","Spring, Summer, Fall, Winter",http://www.summitpost.org/dixie-butte/185580
Dog Tooth Rock,4490,1369,44.78292,-122.22057,Trad Climbing,"Spring, Summer, Fall",http://www.summitpost.org/dog-tooth-rock/679963
Dollar Ridge,9041,2756,45.1851,-117.1866,"Hiking, Mountaineering",Summer,http://www.summitpost.org/dollar-ridge/214483
Dome Rock,4859,1481,44.7529,-122.2084,,,http://www.summitpost.org/dome-rock/153453
Double Chocolate,2600,792,43.21938,-123.56684,"Trad Climbing, Sport Climbing, Toprope","Spring, Summer, Fall, Winter",http://www.summitpost.org/double-chocolate/575305
Drake Peak,8407,2562,42.3002,-120.1227,,,http://www.summitpost.org/drake-peak/154601
Duffy Butte,5849,1783,44.4989,-121.8992,,,http://www.summitpost.org/duffy-butte/154620
Dutton Cliff (Dutton Ridge),8147,2483,42.9024,-122.0843,,,http://www.summitpost.org/dutton-cliff-dutton-ridge/157102
Eagle Cap,9572,2918,45.16369,-117.30162,"Hiking, Mountaineering","Spring, Summer, Fall, Winter",http://www.summitpost.org/eagle-cap/150678
Eagle Mountain (Oregon),4396,1340,42.2644,-123.8223,Hiking,"Spring, Summer, Fall",http://www.summitpost.org/eagle-mountain-oregon/355865
Eagles Rest,3024,922,43.84716,-122.74818,,,http://www.summitpost.org/eagles-rest/477968
Echo Mountain,5830,1777,44.4093,-122.106,,,http://www.summitpost.org/echo-mountain/154867
Eight Dollar Mountain,4001,1220,42.2582,-123.6618,Hiking,"Spring, Summer, Fall, Winter",http://www.summitpost.org/eight-dollar-mountain/360478
